n,pattern,height,avg_depth,balance_height,balance_size
25000,random,33,16,0.52381,0.526316
25000,random,32,16,0.492063,0.504505
25000,random,35,16,0.546875,0.571429
25000,random,33,16,0.515625,0.534483
25000,random,31,17,0.367347,0.354839
25000,random,36,19,0.610169,0.65625
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,ascending,42,25,0,0
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
25000,descending,15004,6251,0.666667,0.666667
