n,collision_rate,pattern,height,avg_depth,balance_height,balance_size
100000,0.1,descending,41,22,0.585714,0.57377
100000,0.1,descending,44,22,0.628571,0.592593
100000,0.1,descending,45,22,0.633803,0.632812
100000,0.1,descending,41,21,0.602941,0.569106
100000,0.1,descending,44,22,0.564103,0.535714
100000,0.1,descending,45,23,0.616438,0.578125
100000,0.1,descending,38,20,0.535211,0.521368
100000,0.1,descending,44,22,0.578947,0.538462
100000,0.1,descending,43,21,0.551282,0.544776
100000,0.1,descending,38,19,0.535211,0.544118
100000,0.1,descending,39,20,0.557143,0.542636
100000,0.1,descending,42,23,0.666667,0.666667
100000,0.1,descending,43,21,0.544304,0.542857
100000,0.1,descending,44,21,0.578947,0.566176
100000,0.1,descending,42,19,0.518519,0.533784
100000,0.1,descending,41,22,0.561644,0.417476
100000,0.1,descending,40,21,0.571429,0.619048
100000,0.1,descending,43,22,0.704918,0.679245
100000,0.1,descending,41,20,0.546667,0.514925
100000,0.1,descending,40,20,0.571429,0.57037
100000,0.1,descending,38,20,0.5,0.52518
100000,0.1,descending,41,21,0.569444,0.590551
100000,0.1,descending,40,22,0.588235,0.568966
100000,0.1,descending,45,23,0.6,0.558333
100000,0.1,descending,40,21,0.555556,0.582677
100000,0.1,descending,40,20,0.540541,0.550725
100000,0.1,descending,39,21,0.506494,0.508197
150000,0,random,39,20,0.5,0.517007
150000,0,random,44,20,0.45,0.444444
150000,0,random,41,20,0.546667,0.552448
150000,0,random,41,20,0.518987,0.547445
150000,0,random,40,20,0.493671,0.510791
150000,0,random,41,20,0.493827,0.496774
150000,0,random,44,20,0.463415,0.47973
150000,0,random,43,21,0.448718,0.442029
150000,0,random,47,22,0.661972,0.685039
150000,0,random,40,20,0.480519,0.472973
150000,0,random,38,21,0.535211,0.559701
150000,0,random,38,19,0.5,0.518248
150000,0,random,38,20,0.506667,0.510345
150000,0,random,39,21,0.506494,0.513699
150000,0,random,47,20,0.4125,0.426667
150000,0,random,41,21,0.5,0.543478
150000,0,random,42,21,0.518519,0.479167
150000,0,random,45,22,0.423077,0.427586
150000,0,random,40,20,0.533333,0.575758
150000,0,random,41,21,0.5125,0.492958
150000,0,random,41,20,0.467532,0.442029
150000,0,random,44,21,0.517647,0.551181
150000,0,random,44,22,0.60274,0.578947
150000,0,random,40,21,0.493671,0.524138
150000,0,random,43,21,0.551282,0.577465
150000,0,random,41,20,0.474359,0.482993
150000,0,random,40,21,0.533333,0.561151
150000,0,random,40,20,0.57971,0.586466
150000,0,random,40,20,0.493671,0.524823
150000,0,random,41,21,0.397059,0.392308
150000,0,random,41,20,0.5125,0.503401
150000,0,random,41,20,0.467532,0.468085
150000,0,random,41,21,0.554054,0.564516
150000,0,random,43,21,0.551282,0.536765
150000,0,random,39,20,0.513158,0.5
150000,0,random,42,20,0.545455,0.531915
150000,0,random,42,20,0.506024,0.503185
150000,0,random,39,20,0.486842,0.493151
150000,0,random,40,20,0.459459,0.484375
150000,0,random,39,20,0.52,0.547445
150000,0,random,43,21,0.518072,0.507042
150000,0,random,39,20,0.486842,0.482014
150000,0,random,38,20,0.506667,0.547445
150000,0,random,42,20,0.475,0.482993
150000,0,random,45,21,0.56962,0.522059
150000,0,random,41,21,0.525641,0.527027
150000,0,random,38,20,0.479452,0.482517
150000,0,random,42,21,0.506024,0.531034
150000,0,random,40,20,0.506329,0.5
150000,0,random,42,21,0.56,0.564286
150000,0.01,random,41,21,0.4875,0.47651
150000,0.01,random,43,22,0.434211,0.456
150000,0.01,random,42,20,0.512195,0.496503
150000,0.01,random,42,21,0.575342,0.576923
150000,0.01,random,39,21,0.52,0.546763
150000,0.01,random,39,20,0.513158,0.542254
150000,0.01,random,40,21,0.606061,0.619048
150000,0.01,random,37,20,0.506849,0.507042
150000,0.01,random,42,21,0.583333,0.613636
150000,0.01,random,44,21,0.488372,0.475524
150000,0.01,random,40,20,0.533333,0.524476
150000,0.01,random,39,20,0.534247,0.532847
150000,0.01,random,40,20,0.533333,0.530612
150000,0.01,random,42,20,0.525,0.51634
150000,0.01,random,39,20,0.465753,0.455224
150000,0.01,random,39,20,0.493506,0.528986
150000,0.01,random,41,22,0.5125,0.495868
150000,0.01,random,43,20,0.5375,0.528169
150000,0.01,random,38,20,0.486486,0.423077
150000,0.01,random,40,20,0.533333,0.496124
150000,0.01,random,43,20,0.455696,0.455782
150000,0.01,random,46,23,0.676471,0.635593
150000,0.01,random,41,21,0.467532,0.443609
150000,0.01,random,40,20,0.473684,0.486111
150000,0.01,random,40,21,0.487179,0.540741
150000,0.01,random,39,20,0.5,0.510204
150000,0.01,random,42,21,0.424658,0.425532
150000,0.01,random,43,21,0.573333,0.553846
150000,0.01,random,41,21,0.493827,0.539007
150000,0.01,random,42,20,0.468354,0.570312
150000,0.01,random,40,20,0.506329,0.527027
150000,0.01,random,43,21,0.605634,0.623077
150000,0.01,random,40,20,0.5,0.451128
150000,0.01,random,42,21,0.531646,0.492857
150000,0.01,random,44,21,0.505747,0.518519
150000,0.01,random,44,21,0.594595,0.580882
150000,0.01,random,38,20,0.506667,0.503448
150000,0.01,random,40,20,0.533333,0.521127
150000,0.01,random,41,21,0.532468,0.582677
150000,0.01,random,42,21,0.525,0.507246
150000,0.01,random,42,22,0.333333,0.350427
150000,0.01,random,42,20,0.416667,0.390625
150000,0.01,random,42,20,0.545455,0.561644
150000,0.01,random,39,20,0.52,0.520548
150000,0.01,random,42,21,0.416667,0.439394
150000,0.01,random,40,21,0.480519,0.465753
